source_center,destination_center,median_delay,trip_count,median_actual_time,median_osrm_time,median_distance
IND142001AAB,IND152026AAA,1.631578947368421,115,71.0,36.0,45.62131783547119
IND142026AAA,IND000000ACA,2.8541666666666665,2,79.0,32.0,33.145099349854256
IND142026AAA,IND141109AAA,1.436904761904762,18,51.0,35.0,20.64253343694699
IND142401AAA,IND000000ACA,1.8125,11,35.0,20.0,27.184685140691503
IND143001AAA,IND144001AAB,2.0729166666666665,76,84.5,42.0,55.637473016721856
IND144001AAA,IND144040AAA,1.7777777777777777,28,33.0,18.0,22.302042608128172
IND144001AAB,IND000000ACA,2.071428571428572,69,96.0,39.0,44.50004921807419
IND144001AAB,IND143001AAA,1.5,68,69.5,44.5,55.80237457402479
IND144001AAB,IND144401AAB,2.0,26,17.0,12.0,10.4973444876249
IND144001AAB,IND144601AAA,3.53125,4,56.5,16.5,18.676321349259805
IND144001AAB,IND160002AAC,3.375,7,194.0,71.0,88.33315614667639
IND144001AAC,IND000000ACA,1.8619047619047617,40,67.5,34.5,44.62330024670726
IND144001AAC,IND160002AAC,2.0,254,132.0,58.0,81.82749758171033
IND144040AAA,IND144001AAB,2.025,14,40.5,19.0,22.9316937877487
IND144401AAB,IND144001AAB,2.0,29,18.0,9.0,10.959665043766556
IND144514AAA,IND000000ACA,1.7644230769230769,2,72.0,45.0,29.30822923050043
IND144514AAA,IND141115AAA,1.75,7,44.0,28.0,23.95563818119098
IND144527AAA,IND141115AAA,1.9230769230769231,8,56.0,30.5,27.425187609950036
IND144601AAA,IND144001AAA,2.0018382352941178,2,33.0,16.5,19.446366012882187
IND144601AAA,IND144040AAA,1.4298245614035088,2,45.0,33.5,25.19688920850983
IND145001AAA,IND176201AAA,1.7916666666666667,7,43.0,22.0,16.46939319018713
IND145001AAA,IND176303AAA,1.102184376156979,2,102.0,88.0,31.004274550891456
IND147001AAB,IND147201AAA,1.2774725274725274,12,35.0,27.0,23.378687458545635
IND147001AAB,IND160002AAC,2.05,14,68.5,33.0,28.9932450620894
IND147001AAD,IND147201AAA,1.7115384615384617,2,39.5,27.0,23.202318875083787
IND147001AAD,IND148023AAA,1.3333333333333333,3,67.0,53.0,44.91851835404111
IND147001AAD,IND160002AAC,2.1869565217391305,10,63.5,33.0,27.250490984644625
IND147101AAA,IND147105AAA,1.4047619047619047,16,30.5,21.5,22.91750722455319
IND147101AAA,IND160002AAC,1.8695652173913044,3,389.0,45.0,44.771581493726025
IND147105AAA,IND147101AAA,1.8257575757575755,2,33.0,24.0,24.799353242175563
IND147105AAA,IND160002AAC,1.8361204013377928,28,567.0,57.5,55.88146062300264
IND147201AAA,IND148023AAA,1.1428571428571428,13,30.0,27.0,24.2816088454311
IND147301AAA,IND000000ACA,1.4821428571428572,2,37.0,23.0,29.722323990925588
IND147301AAA,IND140401AAA,1.4702380952380953,2,32.5,25.5,29.041325129025736
IND148023AAA,IND148001AAA,1.3095238095238095,4,34.5,25.5,27.402525176590068
IND148023AAA,IND148024AAB,2.0,1,36.0,18.0,17.100289404993177
IND148028AAA,IND147001AAB,1.6282894736842106,30,66.5,37.0,44.66546302312037
IND148028AAA,IND147001AAD,1.7222222222222223,6,64.5,36.0,44.34417905696931
IND148101AAA,IND148102AAA,1.181818181818182,5,26.0,22.0,22.24908609114321
