source_center,destination_center,route_type,time_of_day,median_delay,trip_count
IND131028AAB,IND247667AAA,FTL,Afternoon,1.6666666666666665,30
IND131028AAB,IND247667AAB,FTL,Afternoon,1.75,90
IND131028AAB,IND248001AAA,FTL,Afternoon,1.6214285714285714,16
IND131028AAB,IND248001AAD,FTL,Afternoon,1.8229665071770333,8
IND131028AAB,IND249407AAA,FTL,Afternoon,2.1597883597883603,6
IND131028AAB,IND250002AAA,FTL,Afternoon,1.6071428571428572,3
IND131028AAB,IND250609AAA,FTL,Evening,2.9545454545454546,1
IND131028AAB,IND250611AAA,FTL,Evening,3.0064102564102564,6
IND131028AAB,IND251001AAA,FTL,Morning,1.6284615384615384,4
IND131028AAB,IND251001AAA,FTL,Afternoon,1.7037037037037035,37
IND131028AAE,IND124507AAA,FTL,Evening,1.793103448275862,2
IND131301AAA,IND131028AAB,FTL,Night,3.219298245614035,6
IND132001AAA,IND131028AAB,FTL,Night,1.7861111111111112,6
IND132001AAA,IND132103AAA,FTL,Night,3.2964285714285717,2
IND132001AAA,IND132103AAB,FTL,Night,3.0526315789473686,5
IND132103AAA,IND131028AAB,FTL,Morning,1.7857142857142858,3
IND132103AAA,IND131028AAB,FTL,Afternoon,1.723809523809524,6
IND132103AAA,IND132001AAA,FTL,Night,1.6266233766233769,10
IND132103AAB,IND131028AAB,FTL,Morning,1.8571428571428568,12
