hub,betweenness,in_degree,out_degree,avg_delay,betweenness_norm,in_degree_norm,out_degree_norm,avg_delay_norm,bottleneck_score,clustering_coeff
IND722143AAB,0.0,1,1,1.5238095238095235,0.0,0.0222222222222222,0.0212765957446808,0.0435374149659863,0.0174072465865778,1.0
IND360575AAA,7.812616259170524e-06,1,1,1.5192307692307692,3.406348135267707e-05,0.0222222222222222,0.0212765957446808,0.0434065934065934,0.0173947076672403,0.0
IND203131AAA,2.9762347653982946e-06,1,1,1.5192592592592593,1.2976564324829358e-05,0.0222222222222222,0.0212765957446808,0.0434074074074074,0.017386435700592,0.0
IND000000ABA,0.0004103483682792,1,1,1.3937728937728937,0.0017891438062858,0.0222222222222222,0.0212765957446808,0.0398220826792255,0.01737983765174,1.0
IND388121AAA,0.0004103483682792,1,1,1.3923076923076922,0.0017891438062858,0.0222222222222222,0.0212765957446808,0.0397802197802197,0.0173714650719389,1.0
IND122004AAA,0.0,0,2,1.5505050505050506,0.0,0.0,0.0425531914893617,0.0443001443001443,0.0173706671579012,0.0
IND124103AAA,0.0,1,1,1.5172413793103448,0.0,0.0222222222222222,0.0212765957446808,0.0433497536945812,0.0173697143322968,1.0
IND614616AAA,2.232176074048721e-06,1,1,1.5151515151515151,9.73242324362202e-06,0.0222222222222222,0.0212765957446808,0.0432900432900432,0.0173616652206867,0.0
IND331023AAA,0.001221744371196,1,1,1.1428571428571428,0.0053268796553424,0.0222222222222222,0.0212765957446808,0.0326530612244897,0.0173611277004155,0.0
IND624202AAA,7.06855756782095e-06,1,1,1.5108695652173914,3.0819340271469724e-05,0.0222222222222222,0.0212765957446808,0.043167701863354,0.01734563170216,0.0
IND380021AAA,0.0,0,1,2.2857142857142856,0.0,0.0,0.0212765957446808,0.0653061224489795,0.017316543638732,0.0
IND421802AAA,0.0004062560454768,1,1,1.3831521739130437,0.0017713010303392,0.0222222222222222,0.0212765957446808,0.0395186335403726,0.0173120107135908,0.0
IND638657AAA,1.7113349901040193e-05,1,1,1.5,7.46152448677688e-05,0.0222222222222222,0.0212765957446808,0.0428571428571428,0.0173010382627562,0.0
IND711303AAA,0.0016503221774133,1,1,1.0011520737327189,0.0071955049181178,0.0222222222222222,0.0212765957446808,0.0286043449637919,0.0172988345533861,1.0
IND623315AAB,5.580440185121802e-06,1,1,1.5,2.4331058109055045e-05,0.0222222222222222,0.0212765957446808,0.0428571428571428,0.0172809245880528,0.0
IND628801AAA,5.580440185121802e-06,1,1,1.5,2.4331058109055045e-05,0.0222222222222222,0.0212765957446808,0.0428571428571428,0.0172809245880528,0.0
IND424101AAA,3.720293456747868e-06,1,1,1.5,1.6220705406036698e-05,0.0222222222222222,0.0212765957446808,0.0428571428571428,0.0172776804469716,0.0
IND244901AAC,1.1160880370243606e-06,1,1,1.5,4.866211621811009e-06,0.0222222222222222,0.0212765957446808,0.0428571428571428,0.0172731386494579,0.0
IND561203AAB,0.0,1,1,1.5,0.0,0.0222222222222222,0.0212765957446808,0.0428571428571428,0.0172711921648091,1.0
IND641654AAA,0.0,1,1,1.5,0.0,0.0222222222222222,0.0212765957446808,0.0428571428571428,0.0172711921648091,1.0
IND411021AAA,0.0,1,1,1.5,0.0,0.0222222222222222,0.0212765957446808,0.0428571428571428,0.0172711921648091,0.0
IND581119AAB,0.0,1,1,1.5,0.0,0.0222222222222222,0.0212765957446808,0.0428571428571428,0.0172711921648091,1.0
IND403002AAA,0.0,1,1,1.5,0.0,0.0222222222222222,0.0212765957446808,0.0428571428571428,0.0172711921648091,0.0
IND781022AAA,0.0,1,1,1.5,0.0,0.0222222222222222,0.0212765957446808,0.0428571428571428,0.0172711921648091,0.0
IND206001AAA,0.0004062560454768,1,1,1.375,0.0017713010303392,0.0222222222222222,0.0212765957446808,0.0392857142857142,0.0172654268626591,0.0
IND600008AAA,0.0,0,1,2.272727272727273,0.0,0.0,0.0212765957446808,0.0649350649350649,0.0172423321359491,0.0
IND209101AAA,0.0016391612970431,1,1,0.9928571428571428,0.0071468428018997,0.0222222222222222,0.0212765957446808,0.0283673469387755,0.0172319701018956,0.0
IND680712AAA,0.0,1,1,1.4852941176470589,0.0,0.0222222222222222,0.0212765957446808,0.0424369747899159,0.0171871585513638,1.0
IND176201AAA,0.0,1,1,1.4830357142857142,0.0,0.0222222222222222,0.0212765957446808,0.0423724489795918,0.0171742533892989,1.0
IND487001AAA,0.0,1,1,1.47,0.0,0.0222222222222222,0.0212765957446808,0.042,0.0170997635933806,0.0
IND621010AAA,2.232176074048721e-06,1,1,1.4691666666666667,9.73242324362202e-06,0.0222222222222222,0.0212765957446808,0.0419761904761904,0.0170988946579161,0.0
IND312601AAA,0.0008203247072129,1,1,1.205128205128205,0.003576665542031,0.0222222222222222,0.0212765957446808,0.0344322344322344,0.0170168766966399,0.0
IND571313AAB,0.0004174169258471,1,1,1.327956989247312,0.0018199631465573,0.0222222222222222,0.0212765957446808,0.0379416282642089,0.0170160745048453,0.0
IND360311AAA,3.720293456747868e-07,1,1,1.4545454545454546,1.6220705406036698e-06,0.0222222222222222,0.0212765957446808,0.0415584415584415,0.0170121007332851,0.0
IND733134AAA,0.0,1,1,1.4545454545454546,0.0,0.0222222222222222,0.0212765957446808,0.0415584415584415,0.0170114519050689,1.0
IND606803AAA,0.0004103483682792,1,1,1.3276515151515151,0.0017891438062858,0.0222222222222222,0.0212765957446808,0.0379329004329004,0.017002001202475,0.0
IND277303AAC,1.4509144481316686e-05,1,1,1.4472727272727273,6.326075108354311e-05,0.0222222222222222,0.0212765957446808,0.0413506493506493,0.0169951977639439,0.0
IND505001AAA,0.0,0,2,1.4821428571428572,0.0,0.0,0.0425531914893617,0.0423469387755102,0.0169800260529743,1.0
IND500008AAD,0.0,0,1,2.2214285714285715,0.0,0.0,0.0212765957446808,0.063469387755102,0.0169491966999565,0.0
IND602001AAB,0.0,0,1,2.210526315789474,0.0,0.0,0.0212765957446808,0.0631578947368421,0.0168868980963045,0.0
IND768216AAA,0.0,0,1,2.2058823529411766,0.0,0.0,0.0212765957446808,0.0630252100840336,0.0168603611657428,0.0
IND688524AAA,0.0,0,1,2.2,0.0,0.0,0.0212765957446808,0.0628571428571428,0.0168267477203647,0.0
IND122002AAD,0.0,0,1,2.2,0.0,0.0,0.0212765957446808,0.0628571428571428,0.0168267477203647,0.0
IND140406AAA,0.0004099763389336,1,1,1.2916666666666663,0.0017875217357452,0.0222222222222222,0.0212765957446808,0.0369047619047619,0.016795724668631,1.0
IND695614AAA,0.000415184749773,1,1,1.2894736842105263,0.0018102307233136,0.0222222222222222,0.0212765957446808,0.0368421052631579,0.0167922769353376,0.0
IND505325AAA,0.0,1,1,1.411764705882353,0.0,0.0222222222222222,0.0212765957446808,0.0403361344537815,0.0167669904841369,1.0
IND333001AAA,0.0,1,1,1.411764705882353,0.0,0.0222222222222222,0.0212765957446808,0.0403361344537815,0.0167669904841369,1.0
IND626607AAB,2.0833643357788063e-05,1,1,1.4054054054054057,9.08359502738055e-05,0.0222222222222222,0.0212765957446808,0.0401544401544401,0.0167669860043781,0.0
IND441614AAA,0.0,0,1,2.1875,0.0,0.0,0.0212765957446808,0.0625,0.0167553191489361,0.0
IND600016AAA,0.0,0,1,2.184659090909091,0.0,0.0,0.0212765957446808,0.0624188311688311,0.0167390853827024,0.0
IND363641AAA,0.0,0,2,1.4375,0.0,0.0,0.0425531914893617,0.0410714285714285,0.016724924012158,1.0
IND333042AAA,0.0,1,1,1.4,0.0,0.0222222222222222,0.0212765957446808,0.04,0.0166997635933806,1.0
IND425109AAA,0.0004155567791187,1,1,1.2727272727272727,0.0018118527938542,0.0222222222222222,0.0212765957446808,0.0363636363636363,0.0166972319836496,0.0
IND000000ABG,0.0,0,1,2.1666666666666665,0.0,0.0,0.0212765957446808,0.0619047619047619,0.0166362715298885,0.0
IND403507AAA,0.0,1,1,1.386842105263158,0.0,0.0222222222222222,0.0212765957446808,0.0396240601503759,0.0166245756234558,0.0
IND622407AAA,1.4881173826991473e-06,1,1,1.3846153846153846,6.488282162414679e-06,0.0222222222222222,0.0212765957446808,0.0395604395604395,0.0166144468183334,0.0
IND508277AAB,0.0,1,1,1.3846153846153846,0.0,0.0222222222222222,0.0212765957446808,0.0395604395604395,0.0166118515054685,1.0
IND523230AAA,0.0,1,1,1.380952380952381,0.0,0.0222222222222222,0.0212765957446808,0.0394557823129251,0.0165909200559656,1.0
IND517325AAA,0.0,0,1,2.15625,0.0,0.0,0.0212765957446808,0.0616071428571428,0.0165767477203647,0.0
IND508252AAB,0.0004754535037723,1,1,1.2326839826839826,0.0020730061508914,0.0222222222222222,0.0212765957446808,0.0352195423623995,0.0165728745262171,0.0
IND733202AAC,0.0,0,1,2.1538461538461537,0.0,0.0,0.0212765957446808,0.0615384615384615,0.0165630114566284,0.0
IND110043AAC,0.0,1,1,1.375,0.0,0.0222222222222222,0.0212765957446808,0.0392857142857142,0.0165569064505234,0.0
IND722101AAB,0.0,1,1,1.375,0.0,0.0222222222222222,0.0212765957446808,0.0392857142857142,0.0165569064505234,0.0
IND783370AAB,0.0,0,1,2.15,0.0,0.0,0.0212765957446808,0.0614285714285714,0.0165410334346504,0.0
IND203396AAB,0.0,1,1,1.3702107279693487,0.0,0.0222222222222222,0.0212765957446808,0.0391488779419813,0.0165295391817768,1.0
IND303901AAA,0.0,1,1,1.3666666666666667,0.0,0.0222222222222222,0.0212765957446808,0.039047619047619,0.0165092874029044,1.0
IND383001AAA,0.0008203247072129,1,1,1.113095238095238,0.003576665542031,0.0222222222222222,0.0212765957446808,0.0318027210884353,0.0164909740278801,1.0
IND282001AAF,0.0,0,1,2.138888888888889,0.0,0.0,0.0212765957446808,0.0611111111111111,0.0164775413711583,0.0
IND625532AAA,0.0,0,2,1.391304347826087,0.0,0.0,0.0425531914893617,0.039751552795031,0.0164609488568785,0.0
IND322001AAC,1.302102709861754e-05,1,1,1.3541666666666663,5.677246892112844e-05,0.0222222222222222,0.0212765957446808,0.0386904761904761,0.0164605678190443,1.0
IND630002AAA,2.232176074048721e-06,1,1,1.3484848484848484,9.73242324362202e-06,0.0222222222222222,0.0212765957446808,0.0385281385281385,0.0164092842683057,0.0
IND412210AAC,0.0,1,1,1.346969696969697,0.0,0.0222222222222222,0.0212765957446808,0.0384848484848484,0.0163967332903503,1.0
